Country,Confirmed,Deaths,Recovered,Active,Population,Continent 
Uganda,2.44,817.0357569,,,45741000,Africa
Ukraine,9.48,3726.927149,,,44134693,Europe
Upper middle income,6.850180982,9191.680733,,,2513672792,
Uruguay,12.67,15438.41167,,,3473727,South America
United States,8.31,63543.57779,,,329484123,North America
Uzbekistan,5.97,1685.764947,,,34232050,Asia
St. Vincent and the Grenadines,20.27,7297.91235,,,110947,North America
"Venezuela, RB",9.14,,,,28435943,South America
British Virgin Islands,,,,,30237,Europe
Virgin Islands (U.S.),11.84,,,,106290,North America
Vietnam,2.27,2785.724157,,,97338583,Asia
Vanuatu,1.95,2782.98434,,,307150,Oceania
World,6.471280856,10925.72785,,,7752840547,
Samoa,8.87,4067.47263,,,198410,Oceania
Kosovo,,4287.200903,,,1775378,Europe
"Yemen, Rep.",13.42,,,,29825968,Asia
South Africa,28.74,5090.715025,,,59308690,Africa
Zambia,12.17,1050.919283,,,18383956,Africa
Zimbabwe,5.73,1128.210711,,,14862927,Africa
